# number of forms
32

# single-cube piece
# cube
1 1 1
1
0 0 0

# two-cube piece
# small I
2 1 1
1 1
0 0 0

# three-cube pieces (2)
# long I
3 1 1
1 1 1
1 0 0
# corner 3-cube
2 2 1
1 1
1 0
0 0 0

# four-cube pieces (7)
# L piece
3 2 1
1 1 1
1 0 0
1 0 0
# small T
3 2 1
1 1 1
0 1 0
1 0 0
# square 2x2x1
2 2 1
1 1
1 1
0 0 0
# S piece
3 2 1
1 1 0
0 1 1
1 0 0
# triangular prism
2 2 2
1 1
1 0
1 0
0 0
0 0 0
# upper-left triangle
2 2 2
1 1
1 0
0 0
1 0
0 0 0
# upper-right triangle
2 2 2
1 1
1 0
0 1
0 0
0 0 0

# five-cube pieces (21)

# flat pieces
# U piece
3 2 1
1 1 1
1 0 1
1 0 0
# car piece
3 2 1
1 1 1
1 1 0
1 0 0
# cross
3 3 1
0 1 0
1 1 1
0 1 0
1 1 0
# T piece
3 3 1
1 1 1
0 1 0
0 1 0
1 1 0
# big corner
3 3 1
1 1 1
1 0 0 
1 0 0
1 1 0
# zigzag
3 3 1
0 1 1
1 1 0
1 0 0
1 1 0

# 3D protruding shapes
# trunk piece
3 2 2
1 1 1
0 0 0
0 1 0
0 1 0
1 0 0
# hili piece
3 2 2 
0 1 1
1 1 0
0 1 0
0 0 0
1 0 0
# inverted hili piece
3 2 2
1 1 0
0 1 1
0 1 0
0 0 0
1 0 0
# trunk+hili piece
3 2 2
1 1 0
0 1 1
1 0 0
0 0 0
1 0 0
# inverted trunk+hili piece
3 2 2
0 1 1
1 1 0
0 0 1
0 0 0
1 0 0
# edge corner
3 2 2
1 1 1
0 1 0
0 1 0
0 0 0
1 0 0
# long corner
3 2 2
1 1 1
1 0 0
1 0 0
0 0 0
1 0 0
# weird piece
3 2 2
1 1 1
1 0 0
0 0 0
1 0 0
1 0 0
# inverted weird piece
3 2 2
1 1 1
0 0 1
0 0 0
0 0 1
1 0 0
# LT piece
3 2 2
1 1 1
1 0 0
0 1 0
0 0 0
1 0 0
# inverted LT piece
3 2 2
1 1 1
0 0 1
0 1 0
0 0 0
1 0 0
# pupa piece
3 2 2
1 1 1
1 0 0
0 0 1
0 0 0
1 0 0
# inverted pupa piece
3 2 2
1 1 1
0 0 1
1 0 0
0 0 0
1 0 0
# chunk 2x2x2 with nub
2 2 2
1 1
1 1
1 0
0 0
0 0 0
# TV piece
2 2 2
1 1
1 0
0 1
1 0
0 0 0
